visa issues,Immigration bias,Immigrants,Medium,"Can be used as blanket exclusion. Try ""work authorization requirements""."
will you need sponsorship,Immigration bias,Immigrants,Medium,"Can be asked carefully but often misused. Try ""work authorization status""."
illegal alien,Immigration bias,Immigrants,High,"Dehumanizing term. Try ""undocumented immigrant""."
third world,Classism and racism,Global South,High,"Derogatory term. Try ""low income country""."
developing world stereotype,Racism and classism,Global South,Medium,"Can be patronizing. Try ""specific country context""."
primitive culture,Racism and colonial bias,Indigenous and Global South,High,Dehumanizing colonial framing. Avoid entirely.
civilized people,Racism and colonial bias,BIPOC,Medium,"Implies others are uncivilized. Try ""residents"" or ""communities""."
jungle mentality,Racism,BIPOC,High,Dehumanizing racist metaphor. Avoid entirely.
slave driver,Racist origins,BIPOC,High,"Invokes slavery to describe management. Try ""overbearing manager""."
crack the whip,Racist origins,BIPOC,High,"Slavery imagery. Try ""enforce standards""."
black box thinking,Racialized language,BIPOC,Low,"Can be okay in math but may confuse. Try ""opaque system""."
master branch,Tech Jargon,BIPOC,Medium,"Legacy term with slavery connotations. Try ""main branch""."
slave process,Tech Jargon,BIPOC,High,"Slavery term in systems. Try ""worker process""."
master slave replication,Tech Jargon,BIPOC,High,"Explicit slavery pairing in architecture. Try ""primary replica""."
sanity check before merge,Ableism,Mental health disabilities,Medium,"Trivializes mental health. Try ""quick check""."
kill the worker process,Tech operations context,Trauma affected,Low,"Violent term in ops. Try ""terminate the process""."
kill switch,Tech operations context,Trauma affected,Low,"Violent metaphor. Try ""shutdown switch""."
dummy value,Ableism,Cognitive disabilities,Low,"Can be insulting. Try ""placeholder value""."
crazy hack, Ableism,Mental health disabilities,Low,"Stigmatizing term for quick fix. Try ""quick hack""."
quick and dirty solution,Professionalism bias,All employees,Low,"Normalizes sloppy work and can shame. Try ""temporary workaround""."
blacklist,Racialized language,BIPOC,Medium,"Associates 'black' with bad or blocked. Try ""blocklist"" or ""denylist""."
whitelist,Racialized language,BIPOC,Medium,"Associates 'white' with good or allowed. Try ""allowlist"" or ""safelist""."
grandfathered,Racist origins,Black/African American,High,"Originates from 'grandfather clauses' used to deny voting rights to Black Americans. Try ""legacy status"" or ""exempted""."
man hours,Gendered language,Non-men,Low,"Gendered term for labor. Try ""person-hours"" or ""engineer-hours""."
sanity test,Ableism,Mental health disabilities,Medium,"Trivializes mental health as a pass fail gate. Try ""smoke test"" or ""basic validation""."
kill process,Violent tech jargon,Trauma affected,Low,"Violent framing for stopping a task. Try ""terminate process""."
kill the job,Violent tech jargon,Trauma affected,Low,"Violent metaphor for cancelling batch work. Try ""cancel the job""."
kill the service,Violent tech jargon,Trauma affected,Low,"Violent metaphor for shutting down a service. Try ""stop the service""."
abort mission,Militaristic jargon,Trauma affected,Low,"Militaristic phrasing for cancelling a plan. Try ""cancel the plan""."
dummy variable,Ableism,Cognitive disabilities,Low,"Uses ""dummy"" as a slur. Try ""placeholder variable""."
sanity gate,Ableism,Mental health disabilities,Medium,"Frames sanity as a quality check. Try ""quality gate""."
crazy mode,Ableism,Mental health disabilities,Low,"Stigmatizing mental health as chaos. Try ""debug mode""."
insane performance,Ableism,Mental health disabilities,Low,"Uses mental health language as hyperbole. Try ""exceptional performance""."
lunatic fringe,Ableism,Mental health disabilities,High,"Derogatory label for people with non mainstream views. Try ""extreme views""."
paranoid checks,Ableism,Mental health disabilities,Low,"Uses diagnosis as an insult. Try ""extra cautious checks""."
OCD-level detail,Ableism,Mental health disabilities,High,"Trivializes OCD as perfectionism. Try ""extreme attention to detail""."
spaz out,Ableism,Physical disabilities,High,"Offensive slang tied to spasticity. Try ""lose composure""."
cripple the system,Ableism,Physical disabilities,High,"Uses disability as metaphor for damage. Try ""break the system""."
brain dead code,Ableism,Cognitive disabilities,High,"Dehumanizing metaphor. Try ""non functional code""."
vegetable state,Ableism,Cognitive disabilities,High,Dehumanizing term for a person. Avoid entirely.
tone deaf comment,Ableism,Hearing impaired,Medium,"Uses disability as synonym for insensitivity. Try ""insensitive comment""."
blind review metaphor,Ableism,Visually impaired,Low,"Misuses blindness as abstraction. Try ""anonymous review""."
on the spectrum joke,Neurodiversity,Autistic individuals,High,Makes autism a punchline. Avoid entirely.
autistic screeching meme,Neurodiversity,Autistic individuals,High,Dehumanizing meme trope. Avoid entirely.
schizo architecture,Ableism,Mental health disabilities,High,"Uses schizophrenia as synonym for chaotic. Try ""incoherent architecture""."
psychotic behavior,Ableism,Mental health disabilities,High,"Clinical term used casually as insult. Try ""harmful behavior""."
bipolar roadmap,Ableism,Mental health disabilities,High,"Uses diagnosis as metaphor. Try ""inconsistent roadmap""."
wheelchair icon as joke,Ableism,Physical disabilities,High,Mocking accessibility symbols. Avoid entirely.
tone policing,Ableism and racism,Women/BIPOC,Medium,"Invalidates content by focusing on tone. Try ""address the concern directly""."
code ninja mindset,Tech Bro Culture,Women/Non-traditional,Medium,"Martial imagery that can signal exclusionary culture. Try ""skilled engineer""."
rockstar developer,Tech Bro Culture,Collaborative workers,Medium,"Hero worship that devalues teamwork. Try ""experienced developer""."
superstar engineer,Tech Bro Culture,Collaborative workers,Medium,"Inflated label that can mask burnout expectations. Try ""high performing engineer""."
warrior coder,Tech Bro Culture,Collaborative workers,Low,"Militaristic framing of engineering. Try ""dedicated engineer""."
brogrammer vibe,Tech Bro Culture,Women/Non-traditional,Medium,"Signals exclusionary male centric culture. Try ""inclusive engineering culture""."
grindset mentality,Tech Bro Culture,Disabled workers,Medium,"Glorifies relentless hustle over wellbeing. Try ""sustainable productivity""."
alpha dev,Tech Bro Culture,Women/Non-traditional,Medium,"Frames leadership as dominance. Try ""lead engineer""."
crush the competition,Tech Bro Culture,All employees,Low,"Aggressive framing that can normalize hostility. Try ""outperform competitors""."
dominate the market,Tech Bro Culture,All employees,Low,"Hyper competitive framing. Try ""gain market share""."
hackathon widow,Sexism and work life bias,Partners of overworked staff,Medium,"Normalizes extreme overtime that harms families. Try ""work life balance""."
no life outside work,Work life bias,Caregivers,High,"Glorifies total work devotion. Try ""committed during work hours""."
sleep is for the weak,Work life bias,Disabled workers,High,"Stigmatizes rest and health needs. Try ""rest improves performance""."
24/7 hustle,Work life bias,Disabled workers,Medium,"Promotes unsustainable always on culture. Try ""focused working hours""."
must live and breathe code,Tech Bro Culture,Neurodivergent,Medium,"Frames identity only through work. Try ""strong interest in software""."
code is life,Tech Bro Culture,Neurodivergent,Low,"Can pressure unhealthy identification with work. Try ""enjoys coding""."
work hard play hard culture,Work life bias,Caregivers,Medium,"Pressures after hours socializing. Try ""respectful work life boundaries""."
party culture at work,Inclusion bias,Religious minorities,Medium,"Alcohol centric culture that excludes some employees. Try ""optional inclusive events""."
frat house environment,Sexism and inclusion bias,Women/Non-binary,High,"Signals toxic male dominated culture. Try ""professional and inclusive""."
locker room environment,Sexism and harassment risk,Women/LGBTQ+,High,"Normalizes sexist or homophobic jokes. Try ""respectful environment""."
boys club leadership,Sexism,Women/Non-binary,High,"Implies women are excluded from leadership. Try ""diverse leadership""."
he is a family man bonus,Maternal bias,Women,Medium,"Rewards fatherhood while penalizing motherhood. Try ""supports family responsibilities""."
mommy track role,Maternal bias,Women,High,"Assumes mothers want slower careers. Try ""flexible track by choice""."
working mom question,Maternal bias,Women,High,Questions mothers commitment to work. Avoid entirely.
new mom risk,Maternal bias,Women,High,Frames motherhood as liability. Avoid entirely.
pregnancy penalty,Maternal bias,Women,High,Assumes pregnancy reduces value. Avoid entirely.
too pretty for this role,Sexism,Women,High,Objectifies and questions competence. Avoid entirely.
office eye candy,Sexism,Women,High,Reduces women to appearance. Avoid entirely.
arm candy at events,Sexism,Women,High,Uses women as status symbols. Avoid entirely.
girls in the office,Sexism,Women,Medium,"Infantilizes adult women. Try ""women in the office""."
females in tech,Sexism,Women,Medium,"Dehumanizing categorical term. Try ""women in tech""."
emotional female,Sexism,Women,High,"Gendered dismissal of emotion. Try ""upset colleague""."
too girly for leadership,Sexism,Women,High,"Uses stereotypes to block advancement. Try ""leadership style feedback""."
she is too soft,Sexism,Women,Medium,"Gendered critique that can mask bias. Try ""conflict handling style""."
abrasive when she speaks,Tone policing,Women/BIPOC,Medium,"Vague critique that is often gendered or racialized. Try ""specific behavior""."
bossy project manager,Sexism,Women,Medium,"Penalizes assertive women. Try ""decisive""."
shrill on calls,Sexism,Women,High,"Gendered descriptor for voice. Try ""speaks loudly"" if needed."
hysterical reaction,Sexism,Women,High,"Historical term used to dismiss women. Try ""strong reaction""."
catfight at work,Sexism,Women,High,"Sexist framing of conflict between women. Try ""disagreement""."
drama queen label,Sexism,Women,High,"Gendered slur that trivializes concerns. Try ""expressive""."
asking for it with that outfit,Victim blaming,Women,High,Blames harassment on clothing. Avoid entirely.
gold digger stereotype,Sexism,Women,Medium,Stereotype used to discredit women. Avoid entirely.
office mom role,Sexism/Maternal bias,Women,Medium,"Unpaid caretaking expectation. Try ""team support rotation""."
he wears the pants,Sexism,Women/Non-binary,Medium,"Gendered power framing. Try ""makes household decisions""."
not ladylike behavior,Sexism,Women,Medium,"Polices behavior based on gender norms. Try ""unprofessional behavior""."
man up and lead,Gendered language,Men/Non-binary,High,"Enforces harmful masculinity norms. Try ""step up and lead""."
grow a spine man,Gendered language,Men/Non-binary,Medium,"Shames emotional expression. Try ""be more decisive""."
we need a strong male presence,Sexism,Women/Non-binary,High,Assumes gender for authority. Avoid entirely.
she is too strong for a woman,Sexism,Women,High,"Backhanded critique reinforcing stereotypes. Try ""assertive""."
backup wife at work,Sexism,Women,High,Frames colleague as secondary caregiver. Avoid entirely.
token woman on the panel,Tokenism,Women,High,"Reduces presence to optics. Try ""subject matter expert""."
diversity hire joke,Tokenism,Underrepresented groups,High,Undermines competence. Avoid entirely.
affirmative action hire insult,Tokenism,Underrepresented groups,High,Frames equity efforts as unfair. Avoid entirely.
quota candidate,Tokenism,Underrepresented groups,High,Suggests person only meets numeric goal. Avoid entirely.
lowering the bar for diversity,Backlash bias,Underrepresented groups,High,Frames inclusion as reducing quality. Avoid entirely.
pedigree candidate only,Classism,Lower-income candidates,Medium,"Overemphasizes elite backgrounds. Try ""skills based""."
blue blood background,Classism,Lower-income candidates,High,Classist reference to aristocracy. Avoid entirely.
old money connections,Classism,Lower-income candidates,Medium,"Signals preference for inherited wealth. Try ""industry network""."
country club fit,Classism,Lower-income candidates,Medium,"Class coded social requirement. Try ""professional network""."
silver spoon upbringing,Classism,Lower-income candidates,Medium,Derogatory or exclusionary class language. Avoid entirely.
from the wrong side of the tracks,Classism,Lower-income candidates,High,Classist metaphor about neighborhoods. Avoid entirely.
trailer park trash,Classism,Lower-income candidates,High,Classist slur. Avoid entirely.
white trash stereotype,Classism,Lower-income candidates,High,Classist and racist slur. Avoid entirely.
inner city attitude,Classism/Racism,BIPOC,High,Dog whistle about behavior tied to location. Avoid entirely.
rough around the edges from that neighborhood,Classism,Lower-income candidates,Medium,"Classist judgment. Try ""unpolished professional skills""."
no posh background,Classism,Lower-income candidates,Low,Backhanded comment about class. Avoid entirely.
elitist Ivy pipeline,Classism,Lower-income candidates,Medium,"Overreliance on a few elite schools. Try ""broaden recruiting""."
non Ivy downgrade,Classism,Lower-income candidates,Medium,Treats non elite schools as inferior by default. Avoid entirely.
community college stigma,Classism,Lower-income candidates,Medium,Unfair bias against two year programs. Avoid entirely.
polished accent only,Classism/Culture,Non-native speakers,High,"Bias toward certain accents. Try ""clear communication""."
rough accent concern,Classism/Culture,Non-native speakers,Medium,"Can be coded bias. Try ""speech clarity support""."
no heavy accent,Classism/Culture,Non-native speakers,High,Exclusion of speakers based on accent. Avoid entirely.
native sounding name,Name bias,Immigrants/BIPOC,High,"Can encode bias for certain backgrounds. Try ""name blind review""."
hard to pronounce name complaint,Name bias,Immigrants/BIPOC,Medium,"Pressures assimilation. Try ""ask for pronunciation""."
ethnic name concern,Name bias,Immigrants/BIPOC,High,"Uses ""ethnic"" as coded negative. Avoid entirely."
not a cultural fit with our vibe,Culture fit bias,Underrepresented candidates,High,"Vague barrier that can hide bias. Try ""values alignment""."
too urban for leadership,Racial coding,Black professionals,High,Dog whistle about race and style. Avoid entirely.
street smart but not polished,Classism,Racial minorities,Medium,"Class coded compliment with insult. Try ""practical experience""."
ghetto mentality,Classism/Racism,BIPOC,High,Derogatory racialized phrase. Avoid entirely.
third world work ethic stereotype,Racism,Global South,High,Racist generalization about productivity. Avoid entirely.
off the boat comment,Racism,Immigrants,High,Dehumanizing immigration slur. Avoid entirely.
go back where you came from,Racism,Immigrants/BIPOC,High,Classic racist dismissal. Avoid entirely.
English only culture,Cultural bias,Non-native speakers,High,"Excludes multilingual workers. Try ""working language is English"" with support."
must be American born,Cultural bias,Immigrants,High,National origin discrimination. Avoid entirely.
ethnic looking candidate,Racism,BIPOC,High,Reduces people to racialized appearance. Avoid entirely.
exotic look compliment,Racism/Sexism,Women of color,High,"Objectifying racialized ""compliment"". Avoid entirely.stewardess"
stewardesses,Gendered Job Titles,Women,Medium,Instead of 'stewardess'
nutjob,Ableism,Mental health disabilities,High,"Stigmatizing mental health term. Try ""irrational"" or ""unpredictable""."
cleaning lady,Gender roles,Gendered expectations,Low,"Gendered term for a cleaner. Try ""cleaner"" or ""cleaning staff""."
manning,Gender roles,Gendered expectations,Medium,"Gendered term for staffing. Try ""staffing"" or ""crewing""."
retard,Ableism,Intellectual disabilities,High,"A severe ableist slur. Try ""foolish"" or ""ill-advised"" instead."
hag,Ageism / Sexism,Older women,High,"A sexist and ageist slur. Try ""older woman"" or ""disagreeable person""."
wacko,Ableism,Mental health disabilities,High,"A stigmatizing mental health slur. Try ""unpredictable"" or ""irrational""."
spazz,Ableism,Physical/Motor disabilities,High,"An ableist slur derived from spastic. Try ""clumsy"" or ""erratic""."
dinosaurs in the IT department,Ageism,Older workers,High,A derogatory metaphor. Try legacy staff.
IT dinosaurs,Ageism,Older workers,High,A derogatory metaphor. Try legacy staff.
wackoooo,Ableism,Mental Health,High,A typo for wacko. Try chaotic.
pansy,Homophobia/Sexism,Men/LGBTQ+,High,A slur. Try weak.
hysterical woman,Sexism,Women,High,A sexist trope. Try overly emotional.
bimboo,Sexism,Women,High,A sexist slur. Try unqualified.
bimbo,Sexism,Women,High,A sexist slur. Try unqualified.
lunatic,Ableism,People with mental health conditions,High,An ableist slur equating mental illness with incompetence. Try unconventional or unpredictable.
deaf,Ableism,People with hearing disabilities,High,Can be ableist when used as a metaphor for ignoring. Try unresponsive or inattentive.
blind,Ableism,People with visual impairments,Medium,Using disability-related terms as negative metaphors. Consider replacing with more inclusive alternatives such as unaware or overlooked.
schizophrenic,Ableism,Mental health,High,"A severe slur. Try ""erratic"" or ""unpredictable""."
gypsy,Racial coding,Romani people,High,"A severe ethnic slur. Try ""Romani"" or ""traveller""."
overly ambitious,Gender Bias,Women,Moderate,Often used negatively for women pursuing leadership while ambition is praised in men
soft spoken,Gender Bias,Women,Low,May imply lack of confidence when applied selectively to women
intimidating,Gender/Racial Bias,Women & Minorities,Moderate,Used to describe assertive individuals from marginalized groups unfairly
not a culture fit,Professional Bias,Minorities,High,Often a vague phrase masking exclusion or unconscious bias in hiring
too independent,Gender Bias,Women,Moderate,Implies deviation from traditional expectations of dependence
exotic,Racial Bias,Ethnic Minorities,High,Objectifies individuals based on cultural or physical differences
articulate,Racial Bias,Minorities,Moderate,Backhanded compliment implying surprise at competence
loud,Gender/Racial Bias,Women & Minorities,Moderate,Often used to silence or criticize expressive communication styles
overqualified,Professional Bias,Older Employees,Moderate,Can be used to exclude experienced candidates due to cost or bias
rigid,Age Bias,Older Adults,Moderate,Implies inability to adapt to new ideas or technologies
tech challenged,Age Bias,Older Adults,Moderate,Stereotypes older individuals as incapable with technology
emotional thinker,Gender Bias,Women,Moderate,Undermines logical decision-making abilities based on stereotypes
agitated,Racial Bias,Minorities,Moderate,May unfairly label valid concerns as irrational reactions
submissive,Gender Bias,Women,High,Reinforces traditional gender roles and expectations
non assertive,Professional Bias,Junior Staff,Low,May reflect bias against quieter personalities rather than capability
too casual,Class Bias,Lower Socioeconomic Groups,Moderate,Judges professionalism based on appearance or communication style
polished,Class Bias,Minorities,Low,Implies that others are less refined or acceptable
street smart,Class/Racial Bias,Minorities,Moderate,Stereotypes intelligence based on background
traditional mindset,Cultural Bias,Certain Ethnic Groups,Moderate,Implies resistance to progress without context
overly sensitive,Gender Bias,Women,Moderate,Dismisses valid emotional responses as weakness
not leadership material,Professional Bias,Women & Minorities,High,Often subjective and influenced by stereotypes
quiet achiever,Professional Bias,Introverts,Low,May undervalue contributions due to lack of visibility
dominant personality,Gender Bias,Women,Moderate,Used negatively for women but positively for men
flashy,Class Bias,Minorities,Low,May reflect bias toward cultural expression or style
unrefined,Class Bias,Lower Socioeconomic Groups,Moderate,Implies lack of sophistication based on background
too direct,Cultural Bias,Certain Ethnicities,Moderate,Criticizes communication styles differing from dominant norms
overconfident,Gender Bias,Women,Moderate,Penalizes confidence in women more than men
passive,Racial/Gender Bias,Minorities & Women,Moderate,Stereotypes certain groups as lacking initiative
too assertive,Gender Bias,Women,High,Classic double standard in leadership perception
informal tone,Class Bias,Minorities,Low,Judges communication style rather than substance
hard to manage,Racial Bias,Minorities,High,Often vague and used to justify discrimination
too opinionated,Gender Bias,Women,Moderate,Penalizes expression of ideas disproportionately
not presentable,Class/Racial Bias,Minorities,High,Biased judgment based on appearance or grooming standards
overly cautious,Age Bias,Older Adults,Low,Suggests lack of innovation unfairly
energetic but unfocused,Age Bias,Younger Individuals,Low,Stereotypes youth as lacking discipline
too relaxed,Professional Bias,Certain Cultures,Low,Judges demeanor based on cultural norms
attention seeking,Gender Bias,Women,Moderate,Discredits visibility or communication efforts
lacks gravitas,Professional Bias,Young Professionals,Moderate,Subjective measure often influenced by age bias
too informal,Class Bias,Minorities,Low,Penalizes non-traditional communication styles
overly expressive,Racial/Gender Bias,Minorities & Women,Moderate,Frames emotional expression negatively
too reserved,Professional Bias,Introverts,Low,Undervalues quieter personalities
overly friendly,Gender Bias,Women,Low,May imply lack of professionalism
not aggressive enough,Gender Bias,Women,Moderate,Reflects masculine leadership expectations
too nurturing,Gender Bias,Women,Low,Stereotypes women into caregiving roles
unapproachable,Racial Bias,Minorities,Moderate,May reflect bias rather than actual behavior
too urban,Class/Racial Bias,Minorities,Moderate,Stereotypes based on background or upbringing
too rural,Class Bias,Rural Populations,Moderate,Implies lack of sophistication or exposure
overly confident,Racial Bias,Minorities,Moderate,Penalizes confidence differently across groups
not detail oriented,Professional Bias,Junior Staff,Low,May reflect bias in evaluation rather than actual performance
too academic,Professional Bias,Highly Educated Individuals,Low,Implies lack of practical skills unfairly
too informal communicator,Class Bias,Minorities,Low,Bias against non-standard language styles
overly tone conscious communication,Gender Bias,Disabled Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
socially selective outlook,Cultural Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
validation seeking outlook,Class Bias,Senior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
risk avoidant persona,Professional Bias,Men,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly adaptive communicator persona,Gender Bias,LGBTQ+ Individuals,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly filtered profile,Class Bias,Men,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly narrative driven interaction,Cultural Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly filtered approach,Cultural Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
socially rigid attitude,Class Bias,Senior Staff,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
network dependent outlook,Gender Bias,Women,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
feedback resistant attitude,Disability Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
trend dependent tendency,Gender Bias,Older Adults,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly structured communicator approach,Cultural Bias,Women,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly analytical engagement,Professional Bias,Junior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly reserved communicator persona,Disability Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly narrative driven presence,Racial Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
emotion minimizing style,Age Bias,Junior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
expression limited pattern,Racial Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly adaptive communicator presence,Gender Bias,Women,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
status conscious tendency,Cultural Bias,Women,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly cautious communicator persona,Professional Bias,Junior Staff,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
style conforming profile,Racial Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly analytical style,Gender Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
surface level thinker interaction,Age Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
identity driven delivery,Age Bias,Older Adults,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
tone policing expression,Racial Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
image driven style,Professional Bias,Women,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly polished communicator profile,Cultural Bias,Men,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
authority leaning expression,Disability Bias,Senior Staff,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
assertion hesitant engagement,Disability Bias,Disabled Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly cautious communicator profile,Class Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly cautious decision maker communication,Age Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly structured communicator tendency,Cultural Bias,Older Adults,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
credibility guarded attitude,Professional Bias,Women,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
socially selective pattern,Disability Bias,Disabled Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
assertion hesitant outlook,Racial Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
presentation focused outlook,Professional Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
socially selective delivery,Disability Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
credibility guarded pattern,Disability Bias,Junior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
boundary unclear mindset,Age Bias,Men,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly structured approach,Class Bias,Younger Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
tone heavy communication,Disability Bias,Women,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly analytical attitude,Professional Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly expressive communicator mindset,Cultural Bias,Younger Individuals,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly compliant delivery,Gender Bias,Minorities,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly accommodating communicator interaction,Racial Bias,Junior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
expression limited mindset,Class Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly reactive profile,Age Bias,Younger Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
narrative driven outlook,Racial Bias,Women,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
style conforming persona,Professional Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
status seeking attitude,Racial Bias,Junior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly adaptive approach,Professional Bias,Younger Individuals,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
status conscious pattern,Professional Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
tone guarded approach,Cultural Bias,Junior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly deferential profile,Age Bias,Disabled Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly narrative driven persona,Class Bias,Senior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
presentation focused behavior,Racial Bias,Minorities,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly tone conscious approach,Racial Bias,LGBTQ+ Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
expression limited persona,Disability Bias,Disabled Individuals,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
chronically unsure interaction,Cultural Bias,Women,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly expressive communicator expression,Class Bias,Older Adults,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
validation seeking tendency,Cultural Bias,Younger Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
trend dependent style,Racial Bias,Older Adults,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly tone conscious expression,Racial Bias,Older Adults,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
modern to a fault outlook,Professional Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
presentation focused attitude,Gender Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
presentation focused approach,Racial Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly structured communicator behavior,Racial Bias,Older Adults,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
excessively agreeable tendency,Gender Bias,Younger Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
spontaneity lacking style,Cultural Bias,LGBTQ+ Individuals,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
expression limited interaction,Cultural Bias,Junior Staff,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly diplomatic expression,Gender Bias,Senior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly structured communicator delivery,Disability Bias,Women,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
hyper verbal behavior,Class Bias,Men,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
narrative driven approach,Disability Bias,Women,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly filtered interaction,Age Bias,Senior Staff,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
style conforming outlook,Class Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
hyper verbal expression,Gender Bias,LGBTQ+ Individuals,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
feedback resistant tendency,Cultural Bias,Minorities,Moderate,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
overly accommodating communicator profile,Cultural Bias,Junior Staff,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
label focused mindset,Racial Bias,Disabled Individuals,High,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
tone heavy pattern,Professional Bias,Senior Staff,Low,New synthetic bias-indicative phrase generated for advanced linguistic bias detection
