suffers from autism,Neurodiversity,Autistic individuals,Medium,"Frames autism as suffering by default. Try ""autistic person""."
high functioning autism,Neurodiversity,Autistic individuals,Medium,"Problematic label that minimizes support needs. Try ""autistic"" with supports."
low functioning autism,Neurodiversity,Autistic individuals,High,"Dehumanizing label tied to capacity assumptions. Try ""support needs"" language."
autistic screeching,Neurodiversity,Autistic individuals,High,"Mocking and dehumanizing. Try ""sensory distress"" if describing behavior."
OCD about details,Ableism,Mental health disabilities,High,"Trivializes a clinical condition. Try ""detail oriented""."
so bipolar today,Ableism,Mental health disabilities,High,"Stigmatizes clinical diagnoses. Try ""inconsistent""."
schizophrenic decision making,Ableism,Mental health disabilities,High,"Uses diagnosis as insult. Try ""conflicted""."
psycho teammate,Ableism,Mental health disabilities,High,"Slur targeting mental illness. Try ""unsafe behavior"" with specifics."
crazy idea factory,Ableism,Mental health disabilities,Low,"Normalizes stigmatizing language. Try ""wild ideas""."
insane deadline,Ableism,Mental health disabilities,Low,"Stigmatizing term for intensity. Try ""tight deadline""."
mental case,Ableism,Mental health disabilities,High,"Dehumanizing label. Try ""needs support"" with specifics."
addicted to chaos,Ableism,Mental health disabilities,Low,"Stigmatizes mental health and trauma responses. Try ""prefers fast change""."
panic attack mode,Ableism,Mental health disabilities,Medium,"Trivializes panic attacks as work stress. Try ""high stress moment""."
triggered employee,Trauma and mental health,Trauma affected,Medium,"Misuses trauma language as a joke. Try ""upset"" if accurate."
PTSD from that meeting,Trauma and mental health,Trauma affected,High,"Trivializes PTSD. Try ""that was stressful""."
OCD clean desk,Ableism,Mental health disabilities,High,"Uses OCD as a synonym for neatness. Try ""organized""."
neurotic about quality,Ableism,Mental health disabilities,Medium,"Stigmatizing mental health descriptors. Try ""high standards""."
crazy busy,Ableism,Mental health disabilities,Low,"Stigmatizing term for workload. Try ""very busy""."
lunatic schedule,Ableism,Mental health disabilities,High,"Derogatory mental health slur. Try ""unreasonable schedule""."
idiot proof,Ableism and hostility,Neurodivergent,Low,"Insults users and can create hostile tone. Try ""user proof""."
sanity test,Ableism,Mental health disabilities,Medium,"Trivializes mental health. Try ""smoke test""."
crazy train,Ableism,Mental health disabilities,Low,"Stigmatizing metaphor. Try ""chaotic period""."
tone deaf leadership,Ableism,Hearing impaired,Low,"Uses disability metaphor for insensitivity. Try ""out of touch leadership""."
blind review,Ableism,Visually impaired,Low,"Uses blindness metaphor. Try ""anonymous review""."
turn a blind eye,Ableism,Visually impaired,Medium,"Uses disability metaphor. Try ""ignore""."
fall on deaf ears,Ableism,Hearing impaired,Medium,"Uses disability metaphor. Try ""be ignored""."
open the kimono,Racist origins and sexism,Asian and women,High,"Inappropriate metaphor with racist and sexual undertones. Try ""full transparency""."
no can do,Racist origins,Asian,Medium,"Stereotype phrase mocking accents. Try ""cannot do""."
Chinese wall,Racist origins,Asian,Medium,"Outdated term for information barriers. Try ""information barrier""."
Indian giver,Racist slur,Indigenous peoples,High,"Offensive slur. Try ""took back""."
gypped,Racist slur,Roma people,High,"Derogatory slur. Try ""cheated""."
grandfather clause,Racist origins,BIPOC,Medium,"Origin tied to voter suppression. Try ""legacy clause""."
sold down the river,Racist origins,Black professionals,High,"Refers to slavery trade. Try ""betrayed""."
off the reservation,Cultural appropriation,Indigenous peoples,High,"Appropriates harmful colonial framing. Try ""off plan""."
low man on the totem pole,Cultural appropriation,Indigenous peoples,Medium,"Misuses sacred imagery for hierarchy. Try ""junior member""."
too many chiefs not enough indians,Racist origins,Indigenous peoples,High,"Racist phrase about leadership and labor. Try ""unclear ownership""."
chief,Indigenous appropriation,Indigenous peoples,Medium,"Often used as casual nickname with colonial baggage. Try ""lead"" or ""boss""."
tribal knowledge,Cultural appropriation,Indigenous peoples,Medium,"Uses tribe as corporate metaphor. Try ""institutional knowledge""."
tribal leader,Cultural appropriation,Indigenous peoples,Medium,"Appropriates Indigenous governance. Try ""team lead""."
powwow meeting,Cultural appropriation,Indigenous peoples,High,"Appropriates sacred gathering. Try ""huddle""."
spirit animal at work,Cultural appropriation,Indigenous peoples,High,"Appropriates spiritual tradition. Try ""favorite""."
my spirit animal,Cultural appropriation,Indigenous peoples,High,"Appropriates sacred tradition. Try ""I relate to""."
circle the wagons,Cultural appropriation,Indigenous peoples,Low,"Frontier warfare metaphor. Try ""align as a team""."
warpath,Cultural appropriation,Indigenous peoples,Medium,"Perpetuates violent stereotypes. Try ""angry""."
redskin mascot,Racist slur,Indigenous peoples,High,Offensive slur. Avoid entirely.
savage mode,Racist and cultural coding,Indigenous and BIPOC,Medium,"Dehumanizing descriptor tied to racist history. Try ""intense mode""."
civilized behavior,Racist coding,BIPOC,Medium,"Implies others are uncivilized. Try ""respectful behavior""."
articulate for someone from there,Cultural coding,BIPOC,High,"Implies surprise at competence. Try ""clear communicator""."
so articulate for a,Microaggression,BIPOC,High,"Backhanded compliment implying low expectations. Try ""articulate""."
not like the others,Microaggression,Underrepresented groups,High,"Othering phrase that isolates individuals. Try ""unique strengths""."
diversity hire,Tokenism,Underrepresented groups,High,"Reduces person to identity and implies unearned role. Try ""hire""."
token hire,Tokenism,Underrepresented groups,High,"Implying presence is symbolic not merit based. Try ""team member""."
quota hire,Tokenism,Underrepresented groups,High,"Implying hiring is only to satisfy quotas. Try ""hire""."
she got promoted because,Tokenism,Women and BIPOC,High,"Assumes advancement is due to identity. Try ""promotion criteria""."
DEI hire,Tokenism,Underrepresented groups,High,"Reduces person to DEI program. Try ""hire""."
forced diversity,Backlash and bias,Underrepresented groups,High,"Frames inclusion as coercion and lowers belonging. Try ""inclusive hiring""."
reverse discrimination,Backlash and bias,BIPOC and women,High,"Often used to deny systemic bias. Try ""fair process review""."
playing the race card,Racist trope,BIPOC,High,"Dismisses reports of racism. Try ""address the concern""."
playing the gender card,Sexism,Women and non binary,High,"Dismisses reports of sexism. Try ""address the concern""."
angry woman stereotype,Sexism,Women,High,"Stereotype used to dismiss assertiveness. Try ""direct feedback""."
angry Black woman trope,Racism and sexism,Black women,High,"Weaponized stereotype in feedback. Try ""specific behaviors""."
sassy attitude,Racialized sexism,Black women and Latinas,Medium,"Stereotype that polices communication. Try ""tone"" with specifics."
spicy personality,Racialized sexism,Latinas,Medium,"Stereotype that sexualizes or trivializes. Try ""energetic""."
fiery Latina,Racialized sexism,Latinas,High,"Stereotype that reduces identity. Try ""passionate"" if accurate."
model minority,Asian bias,Asian professionals,High,"Stereotype that harms and erases diversity. Try ""individual strengths""."
quiet Asian stereotype,Racist stereotype,Asian professionals,Medium,"Stereotype about communication style. Try ""communication preferences""."
tiger mom stereotype,Racist stereotype,Asian women,Medium,"Stereotype that reduces people to caricature. Try ""parenting choices""."
exotic looking,Sexism and racism,Women of color,High,"Objectifies and otherizes. Try ""distinctive""."
ethnic sounding name,Name bias,BIPOC and immigrants,High,"Used to discriminate in hiring. Try ""name blind review""."
name is hard to pronounce,Name bias,BIPOC and immigrants,Medium,"Often used to pressure assimilation. Try ""please tell me pronunciation""."
cultural fit with our vibe,Cultural coding,Underrepresented candidates,High,"Vague and exclusionary. Try ""values alignment""."
professional hairstyle,Hair discrimination,Black professionals,High,"Often targets natural hair styles. Try ""dress code"" with care."
unprofessional hair,Hair discrimination,Black professionals,High,"Often targets natural hair. Try ""policy review""."
needs to straighten hair,Hair discrimination,Black professionals,High,Assimilation pressure. Avoid entirely.
too urban for clients,Racial coding,Black professionals,High,"Dog whistle implying bias against Black culture. Try ""client preferences"" and challenge."
looks intimidating,Racial coding,Black men,High,"Often a biased read of Black bodies. Try ""approachable"" with specifics."
not executive enough,Classism and tone policing,Women and BIPOC,Medium,"Vague standard tied to dominant norms. Try ""specific leadership behaviors""."
articulation issues,Cultural coding,Non native speakers,Medium,"Can mask accent discrimination. Try ""clarity improvements""."
communication style mismatch,Cultural coding,BIPOC and women,Medium,"Often vague proxy for bias. Try ""specific examples""."
too direct for our culture,Gender and cultural bias,Women and BIPOC,Medium,"Penalizes non dominant communication. Try ""feedback norms""."
too blunt,Gender bias,Women,Low,"Can be gendered in reviews. Try ""specific feedback on phrasing""."
too aggressive in meetings,Tone policing,Black professionals and women,Medium,"Can be biased label. Try ""interruptions"" with specifics."
needs to be more likable,Tone policing,Women,Medium,"Gendered demand for warmth. Try ""collaboration behaviors""."
needs to be less intimidating,Gender and racial bias,Women and BIPOC,Medium,"Biased feedback about presence. Try ""approachability"" with specifics."
abrasive communicator,Tone policing,Women,Medium,"Often applied unevenly. Try ""specific behaviors""."
pushy salesperson,Gender bias,Women,Low,"Can be applied unevenly. Try ""sales approach"" with specifics."
too assertive,Gender bias,Women,Medium,"Double standard for leadership. Try ""assertive"" as positive or be specific."
not warm enough,Gender bias,Women,Medium,"Penalizes women for not performing warmth. Try ""team rapport"" specifics."
smile more,Sexism,Women,High,Polices appearance and emotion. Avoid entirely.
sweetheart in email,Sexism,Women,High,"Infantilizing in professional context. Try ""colleague name""."
dear girl,Sexism,Women,High,"Infantilizing and disrespectful. Try ""name""."
little lady,Sexism,Women,High,Infantilizing and sexist. Avoid entirely.
office mom,Sexism and maternal bias,Women,Medium,"Assigns caretaking role to women. Try ""team coordinator"" if real."
team mom,Sexism and maternal bias,Women,Medium,"Assigns unpaid emotional labor. Try ""project coordinator""."
nurturing,Gender bias,Women,High,"Can pigeonhole into support roles. Try ""supportive leadership""."
too maternal,Maternal bias,Women,Low,"Gendered critique of leadership style. Try ""leadership style""."
pregnancy leave risk,Maternal bias,Women,High,Discriminatory hiring consideration. Avoid entirely.
childbearing age,Maternal bias,Women,High,Discriminatory and invasive. Avoid entirely.
family planning questions,Maternal bias,Women,High,Inappropriate in hiring. Avoid entirely.
new mom brain,Ableism and sexism,Women,High,"Stereotypes postpartum cognition and undermines competence. Try ""support needs""."
pregnancy brain,Ableism and sexism,Women,High,Stereotype that undermines competence. Avoid entirely.
boys will be boys,Sexism,Women and non binary,High,Excuses misconduct and harassment. Avoid entirely.
locker room talk,Harassment normalization,Women and LGBTQ+,High,"Normalizes sexist language. Try ""respectful conduct""."
man up,Gender bias,Men and non binary,High,"Toxic masculinity trope. Try ""take responsibility""."
big boy rules,Gender bias,Non men,Medium,"Gendered framing that excludes. Try ""clear expectations""."
grow a pair,Gender bias,Non binary and men,High,Toxic masculinity and harassment. Avoid entirely.
be a man,Gender bias,Men and non binary,High,Enforces masculinity norms. Avoid entirely.
I need manpower,Gendered language,Women and non binary,Medium,"Defaults male for labor. Try ""staffing""."
man the phones,Gendered language,Women and non binary,Low,"Gendered phrasing. Try ""staff the phones""."
chairman of the board,Gendered language,Non men,Low,"Gendered title. Try ""chair""."
he or she only,Gendered language,Non binary,Medium,"Erases non binary identities. Try ""they""."
ladies and gentlemen,Gendered language,Non binary,Low,"Enforces binary. Try ""everyone""."
opposite gender,Heteronormativity,Non binary and LGBTQ+,Medium,"Assumes binary. Try ""different gender""."
preferred pronouns,Trans bias,Trans and non binary,Medium,"Frames pronouns as preference. Try ""pronouns""."
real name,Trans bias,Trans individuals,High,"Invalidates chosen name. Try ""legal name"" if required."
born a man,Transphobia,Trans women,High,"Invalidates identity. Try ""assigned male at birth""."
born a woman,Transphobia,Trans men,High,"Invalidates identity. Try ""assigned female at birth""."
sex change,Transphobia,Trans individuals,High,"Outdated framing. Try ""gender affirming care""."
transgendered,Transphobia,Trans individuals,Low,"Often considered incorrect phrasing. Try ""transgender""."
identify as a woman,Trans bias,Trans women,Medium,"Implies identity is pretend. Try ""is a woman""."
identify as a man,Trans bias,Trans men,Medium,"Implies identity is pretend. Try ""is a man""."
biological sex is,Transphobia,Trans individuals,High,"Often used to invalidate trans identity. Try ""sex assigned at birth""."
two genders only,Transphobia,Non binary,High,Erases non binary people. Avoid entirely.
lifestyle choice,Homophobia,LGBTQ+,High,Frames identity as a choice. Avoid entirely.
sexual preference,Homophobia,LGBTQ+,Medium,"Outdated phrasing. Try ""sexual orientation""."
normal family,Heteronormativity,LGBTQ+ and single parents,High,"Implies others are abnormal. Try ""family""."
traditional values,Heteronormativity,LGBTQ+,High,"Often used to exclude LGBTQ+ people. Try ""organizational values""."
husband and wife,Heteronormativity,LGBTQ+,Low,"Assumes heterosexual pairing. Try ""spouse""."
wife material,Sexism,Women,Medium,Objectifies women in workplace. Avoid entirely.
husband material,Sexism,Men,Low,Objectifies men in workplace. Avoid entirely.
bachelor culture,Sexism and exclusion,Women and caregivers,Medium,"Signals single person norm. Try ""inclusive culture""."
single person lifestyle,Family status bias,Caregivers,Low,"Assumes availability. Try ""schedule expectations""."
childless flexibility,Family status bias,Parents and caregivers,Medium,"Penalizes parents. Try ""availability""."
no kids to worry about,Family status bias,Parents and caregivers,High,Discriminatory and invasive. Avoid entirely.
primary breadwinner,Gender bias,Women,Medium,"Assumes men earn more. Try ""household earner""."
stay at home mom stereotype,Sexism,Women,Medium,"Assumes caregiving roles. Try ""caregiver""."
dead end job,Classism,Working class candidates,High,"Devalues essential roles. Try ""entry role""."
low class background,Classism,Working class candidates,High,Derogatory and discriminatory. Avoid entirely.
trailer trash,Classism,Lower income candidates,High,Classist slur. Avoid entirely.
white collar only,Classism,Working class candidates,Medium,"Excludes skilled trades unfairly. Try ""role requirements""."
no community college,Classism,Lower income candidates,High,"Arbitrary degree bias. Try ""skills based""."
top tier school,Classism,Lower income candidates,Medium,"Education elitism. Try ""relevant skills""."
elite university only,Classism,Lower income candidates,High,"Excludes qualified candidates. Try ""degree or equivalent experience""."
pedigree background,Classism,Lower income candidates,Medium,"Classist framing. Try ""experience""."
upper crust,Classism,Working class candidates,High,Derogatory class language. Avoid entirely.
low rent,Classism,Working class candidates,Medium,"Derogatory class term. Try ""low quality"" if about product."
ghetto rigged,Classism and racism,BIPOC and lower income,High,"Derogatory and racialized. Try ""improvised""."
sketchy neighborhood,Classism,BIPOC and lower income,Low,"Can be coded and biased. Try ""unsafe area"" if factual."
inner city kids,Classism and racism,BIPOC,Medium,"Coded language that can stigmatize. Try ""students""."
good neighborhood,Classism and racism,BIPOC and lower income,Low,"Can reinforce segregation bias. Try ""safe area"" if factual."
clean cut,Classism and cultural bias,BIPOC,Medium,"Can pressure assimilation. Try ""professional appearance""."
professional look,Hair and cultural bias,BIPOC,Medium,"Can be used to police culture. Try ""dress expectations"" narrowly."
needs to assimilate,Cultural bias,Immigrants and BIPOC,High,"Explicit pressure to conform. Try ""team norms"" with care."
speak proper English,Cultural bias,Non native speakers,High,"Often used to demean dialects and accents. Try ""clear communication""."
accent reduction,Cultural bias,Non native speakers,Medium,"Can be discriminatory if not job related. Try ""communication coaching""."
no foreign experience,Immigration bias,Immigrants,High,"Discounts global experience unfairly. Try ""relevant experience""."
local experience only,Immigration bias,Immigrants,High,"Excludes immigrants unfairly. Try ""role relevant experience""."
visa issues,Immigration bias,Immigrants,Medium,"Can be used as blanket exclusion. Try ""work authorization requirements""."
will you need sponsorship,Immigration bias,Immigrants,Medium,"Can be asked carefully but often misused. Try ""work authorization status""."
illegal alien,Immigration bias,Immigrants,High,"Dehumanizing term. Try ""undocumented immigrant""."
third world,Classism and racism,Global South,High,"Derogatory term. Try ""low income country""."
developing world stereotype,Racism and classism,Global South,Medium,"Can be patronizing. Try ""specific country context""."
primitive culture,Racism and colonial bias,Indigenous and Global South,High,Dehumanizing colonial framing. Avoid entirely.
civilized people,Racism and colonial bias,BIPOC,Medium,"Implies others are uncivilized. Try ""residents"" or ""communities""."
jungle mentality,Racism,BIPOC,High,Dehumanizing racist metaphor. Avoid entirely.
slave driver,Racist origins,BIPOC,High,"Invokes slavery to describe management. Try ""overbearing manager""."
crack the whip,Racist origins,BIPOC,High,"Slavery imagery. Try ""enforce standards""."
black box thinking,Racialized language,BIPOC,Low,"Can be okay in math but may confuse. Try ""opaque system""."
master branch,Tech Jargon,BIPOC,Medium,"Legacy term with slavery connotations. Try ""main branch""."
slave process,Tech Jargon,BIPOC,High,"Slavery term in systems. Try ""worker process""."
master slave replication,Tech Jargon,BIPOC,High,"Explicit slavery pairing in architecture. Try ""primary replica""."
sanity check before merge,Ableism,Mental health disabilities,Medium,"Trivializes mental health. Try ""quick check""."
kill the worker process,Tech operations context,Trauma affected,Low,"Violent term in ops. Try ""terminate the process""."
kill switch,Tech operations context,Trauma affected,Low,"Violent metaphor. Try ""shutdown switch""."
dummy value,Ableism,Cognitive disabilities,Low,"Can be insulting. Try ""placeholder value""."
crazy hack, Ableism,Mental health disabilities,Low,"Stigmatizing term for quick fix. Try ""quick hack""."
quick and dirty solution,Professionalism bias,All employees,Low,"Normalizes sloppy work and can shame. Try ""temporary workaround""."
blacklist,Racialized language,BIPOC,Medium,"Associates 'black' with bad or blocked. Try ""blocklist"" or ""denylist""."
whitelist,Racialized language,BIPOC,Medium,"Associates 'white' with good or allowed. Try ""allowlist"" or ""safelist""."
grandfathered,Racist origins,Black/African American,High,"Originates from 'grandfather clauses' used to deny voting rights to Black Americans. Try ""legacy status"" or ""exempted""."
man hours,Gendered language,Non-men,Low,"Gendered term for labor. Try ""person-hours"" or ""engineer-hours""."
sanity test,Ableism,Mental health disabilities,Medium,"Trivializes mental health as a pass fail gate. Try ""smoke test"" or ""basic validation""."
kill process,Violent tech jargon,Trauma affected,Low,"Violent framing for stopping a task. Try ""terminate process""."
kill the job,Violent tech jargon,Trauma affected,Low,"Violent metaphor for cancelling batch work. Try ""cancel the job""."
kill the service,Violent tech jargon,Trauma affected,Low,"Violent metaphor for shutting down a service. Try ""stop the service""."
abort mission,Militaristic jargon,Trauma affected,Low,"Militaristic phrasing for cancelling a plan. Try ""cancel the plan""."
dummy variable,Ableism,Cognitive disabilities,Low,"Uses ""dummy"" as a slur. Try ""placeholder variable""."
sanity gate,Ableism,Mental health disabilities,Medium,"Frames sanity as a quality check. Try ""quality gate""."
crazy mode,Ableism,Mental health disabilities,Low,"Stigmatizing mental health as chaos. Try ""debug mode""."
insane performance,Ableism,Mental health disabilities,Low,"Uses mental health language as hyperbole. Try ""exceptional performance""."
lunatic fringe,Ableism,Mental health disabilities,High,"Derogatory label for people with non mainstream views. Try ""extreme views""."
paranoid checks,Ableism,Mental health disabilities,Low,"Uses diagnosis as an insult. Try ""extra cautious checks""."
OCD-level detail,Ableism,Mental health disabilities,High,"Trivializes OCD as perfectionism. Try ""extreme attention to detail""."
spaz out,Ableism,Physical disabilities,High,"Offensive slang tied to spasticity. Try ""lose composure""."
cripple the system,Ableism,Physical disabilities,High,"Uses disability as metaphor for damage. Try ""break the system""."
brain dead code,Ableism,Cognitive disabilities,High,"Dehumanizing metaphor. Try ""non functional code""."
vegetable state,Ableism,Cognitive disabilities,High,Dehumanizing term for a person. Avoid entirely.
tone deaf comment,Ableism,Hearing impaired,Medium,"Uses disability as synonym for insensitivity. Try ""insensitive comment""."
blind review metaphor,Ableism,Visually impaired,Low,"Misuses blindness as abstraction. Try ""anonymous review""."
on the spectrum joke,Neurodiversity,Autistic individuals,High,Makes autism a punchline. Avoid entirely.
autistic screeching meme,Neurodiversity,Autistic individuals,High,Dehumanizing meme trope. Avoid entirely.
schizo architecture,Ableism,Mental health disabilities,High,"Uses schizophrenia as synonym for chaotic. Try ""incoherent architecture""."
psychotic behavior,Ableism,Mental health disabilities,High,"Clinical term used casually as insult. Try ""harmful behavior""."
bipolar roadmap,Ableism,Mental health disabilities,High,"Uses diagnosis as metaphor. Try ""inconsistent roadmap""."
wheelchair icon as joke,Ableism,Physical disabilities,High,Mocking accessibility symbols. Avoid entirely.
tone policing,Ableism and racism,Women/BIPOC,Medium,"Invalidates content by focusing on tone. Try ""address the concern directly""."
code ninja mindset,Tech Bro Culture,Women/Non-traditional,Medium,"Martial imagery that can signal exclusionary culture. Try ""skilled engineer""."
rockstar developer,Tech Bro Culture,Collaborative workers,Medium,"Hero worship that devalues teamwork. Try ""experienced developer""."
superstar engineer,Tech Bro Culture,Collaborative workers,Medium,"Inflated label that can mask burnout expectations. Try ""high performing engineer""."
warrior coder,Tech Bro Culture,Collaborative workers,Low,"Militaristic framing of engineering. Try ""dedicated engineer""."
brogrammer vibe,Tech Bro Culture,Women/Non-traditional,Medium,"Signals exclusionary male centric culture. Try ""inclusive engineering culture""."
grindset mentality,Tech Bro Culture,Disabled workers,Medium,"Glorifies relentless hustle over wellbeing. Try ""sustainable productivity""."
alpha dev,Tech Bro Culture,Women/Non-traditional,Medium,"Frames leadership as dominance. Try ""lead engineer""."
crush the competition,Tech Bro Culture,All employees,Low,"Aggressive framing that can normalize hostility. Try ""outperform competitors""."
dominate the market,Tech Bro Culture,All employees,Low,"Hyper competitive framing. Try ""gain market share""."
hackathon widow,Sexism and work life bias,Partners of overworked staff,Medium,"Normalizes extreme overtime that harms families. Try ""work life balance""."
no life outside work,Work life bias,Caregivers,High,"Glorifies total work devotion. Try ""committed during work hours""."
sleep is for the weak,Work life bias,Disabled workers,High,"Stigmatizes rest and health needs. Try ""rest improves performance""."
24/7 hustle,Work life bias,Disabled workers,Medium,"Promotes unsustainable always on culture. Try ""focused working hours""."
must live and breathe code,Tech Bro Culture,Neurodivergent,Medium,"Frames identity only through work. Try ""strong interest in software""."
code is life,Tech Bro Culture,Neurodivergent,Low,"Can pressure unhealthy identification with work. Try ""enjoys coding""."
work hard play hard culture,Work life bias,Caregivers,Medium,"Pressures after hours socializing. Try ""respectful work life boundaries""."
party culture at work,Inclusion bias,Religious minorities,Medium,"Alcohol centric culture that excludes some employees. Try ""optional inclusive events""."
frat house environment,Sexism and inclusion bias,Women/Non-binary,High,"Signals toxic male dominated culture. Try ""professional and inclusive""."
locker room environment,Sexism and harassment risk,Women/LGBTQ+,High,"Normalizes sexist or homophobic jokes. Try ""respectful environment""."
boys club leadership,Sexism,Women/Non-binary,High,"Implies women are excluded from leadership. Try ""diverse leadership""."
he is a family man bonus,Maternal bias,Women,Medium,"Rewards fatherhood while penalizing motherhood. Try ""supports family responsibilities""."
mommy track role,Maternal bias,Women,High,"Assumes mothers want slower careers. Try ""flexible track by choice""."
working mom question,Maternal bias,Women,High,Questions mothers commitment to work. Avoid entirely.
new mom risk,Maternal bias,Women,High,Frames motherhood as liability. Avoid entirely.
pregnancy penalty,Maternal bias,Women,High,Assumes pregnancy reduces value. Avoid entirely.
too pretty for this role,Sexism,Women,High,Objectifies and questions competence. Avoid entirely.
office eye candy,Sexism,Women,High,Reduces women to appearance. Avoid entirely.
arm candy at events,Sexism,Women,High,Uses women as status symbols. Avoid entirely.
girls in the office,Sexism,Women,Medium,"Infantilizes adult women. Try ""women in the office""."
females in tech,Sexism,Women,Medium,"Dehumanizing categorical term. Try ""women in tech""."
emotional female,Sexism,Women,High,"Gendered dismissal of emotion. Try ""upset colleague""."
too girly for leadership,Sexism,Women,High,"Uses stereotypes to block advancement. Try ""leadership style feedback""."
she is too soft,Sexism,Women,Medium,"Gendered critique that can mask bias. Try ""conflict handling style""."
abrasive when she speaks,Tone policing,Women/BIPOC,Medium,"Vague critique that is often gendered or racialized. Try ""specific behavior""."
bossy project manager,Sexism,Women,Medium,"Penalizes assertive women. Try ""decisive""."
shrill on calls,Sexism,Women,High,"Gendered descriptor for voice. Try ""speaks loudly"" if needed."
hysterical reaction,Sexism,Women,High,"Historical term used to dismiss women. Try ""strong reaction""."
catfight at work,Sexism,Women,High,"Sexist framing of conflict between women. Try ""disagreement""."
drama queen label,Sexism,Women,High,"Gendered slur that trivializes concerns. Try ""expressive""."
asking for it with that outfit,Victim blaming,Women,High,Blames harassment on clothing. Avoid entirely.
gold digger stereotype,Sexism,Women,Medium,Stereotype used to discredit women. Avoid entirely.
office mom role,Sexism/Maternal bias,Women,Medium,"Unpaid caretaking expectation. Try ""team support rotation""."
he wears the pants,Sexism,Women/Non-binary,Medium,"Gendered power framing. Try ""makes household decisions""."
not ladylike behavior,Sexism,Women,Medium,"Polices behavior based on gender norms. Try ""unprofessional behavior""."
man up and lead,Gendered language,Men/Non-binary,High,"Enforces harmful masculinity norms. Try ""step up and lead""."
grow a spine man,Gendered language,Men/Non-binary,Medium,"Shames emotional expression. Try ""be more decisive""."
we need a strong male presence,Sexism,Women/Non-binary,High,Assumes gender for authority. Avoid entirely.
she is too strong for a woman,Sexism,Women,High,"Backhanded critique reinforcing stereotypes. Try ""assertive""."
backup wife at work,Sexism,Women,High,Frames colleague as secondary caregiver. Avoid entirely.
token woman on the panel,Tokenism,Women,High,"Reduces presence to optics. Try ""subject matter expert""."
diversity hire joke,Tokenism,Underrepresented groups,High,Undermines competence. Avoid entirely.
affirmative action hire insult,Tokenism,Underrepresented groups,High,Frames equity efforts as unfair. Avoid entirely.
quota candidate,Tokenism,Underrepresented groups,High,Suggests person only meets numeric goal. Avoid entirely.
lowering the bar for diversity,Backlash bias,Underrepresented groups,High,Frames inclusion as reducing quality. Avoid entirely.
pedigree candidate only,Classism,Lower-income candidates,Medium,"Overemphasizes elite backgrounds. Try ""skills based""."
blue blood background,Classism,Lower-income candidates,High,Classist reference to aristocracy. Avoid entirely.
old money connections,Classism,Lower-income candidates,Medium,"Signals preference for inherited wealth. Try ""industry network""."
country club fit,Classism,Lower-income candidates,Medium,"Class coded social requirement. Try ""professional network""."
silver spoon upbringing,Classism,Lower-income candidates,Medium,Derogatory or exclusionary class language. Avoid entirely.
from the wrong side of the tracks,Classism,Lower-income candidates,High,Classist metaphor about neighborhoods. Avoid entirely.
trailer park trash,Classism,Lower-income candidates,High,Classist slur. Avoid entirely.
white trash stereotype,Classism,Lower-income candidates,High,Classist and racist slur. Avoid entirely.
inner city attitude,Classism/Racism,BIPOC,High,Dog whistle about behavior tied to location. Avoid entirely.
rough around the edges from that neighborhood,Classism,Lower-income candidates,Medium,"Classist judgment. Try ""unpolished professional skills""."
no posh background,Classism,Lower-income candidates,Low,Backhanded comment about class. Avoid entirely.
elitist Ivy pipeline,Classism,Lower-income candidates,Medium,"Overreliance on a few elite schools. Try ""broaden recruiting""."
non Ivy downgrade,Classism,Lower-income candidates,Medium,Treats non elite schools as inferior by default. Avoid entirely.
community college stigma,Classism,Lower-income candidates,Medium,Unfair bias against two year programs. Avoid entirely.
polished accent only,Classism/Culture,Non-native speakers,High,"Bias toward certain accents. Try ""clear communication""."
rough accent concern,Classism/Culture,Non-native speakers,Medium,"Can be coded bias. Try ""speech clarity support""."
no heavy accent,Classism/Culture,Non-native speakers,High,Exclusion of speakers based on accent. Avoid entirely.
native sounding name,Name bias,Immigrants/BIPOC,High,"Can encode bias for certain backgrounds. Try ""name blind review""."
hard to pronounce name complaint,Name bias,Immigrants/BIPOC,Medium,"Pressures assimilation. Try ""ask for pronunciation""."
ethnic name concern,Name bias,Immigrants/BIPOC,High,"Uses ""ethnic"" as coded negative. Avoid entirely."
not a cultural fit with our vibe,Culture fit bias,Underrepresented candidates,High,"Vague barrier that can hide bias. Try ""values alignment""."
too urban for leadership,Racial coding,Black professionals,High,Dog whistle about race and style. Avoid entirely.
street smart but not polished,Classism,Racial minorities,Medium,"Class coded compliment with insult. Try ""practical experience""."
ghetto mentality,Classism/Racism,BIPOC,High,Derogatory racialized phrase. Avoid entirely.
third world work ethic stereotype,Racism,Global South,High,Racist generalization about productivity. Avoid entirely.
off the boat comment,Racism,Immigrants,High,Dehumanizing immigration slur. Avoid entirely.
go back where you came from,Racism,Immigrants/BIPOC,High,Classic racist dismissal. Avoid entirely.
English only culture,Cultural bias,Non-native speakers,High,"Excludes multilingual workers. Try ""working language is English"" with support."
must be American born,Cultural bias,Immigrants,High,National origin discrimination. Avoid entirely.
ethnic looking candidate,Racism,BIPOC,High,Reduces people to racialized appearance. Avoid entirely.
exotic look compliment,Racism/Sexism,Women of color,High,"Objectifying racialized ""compliment"". Avoid entirely.stewardess",Gendered Job Titles,Women,Medium,Instead of 'stewardess', use the more inclusive term 'flight attendant'.
